County_Name,income_ratio
Rensselaer,4
Richmond,5
Rockland,5
St. Lawrence,4
Saratoga,3
Schenectady,4
Schoharie,4
Schuyler,4
Seneca,4
Steuben,4
Suffolk,4
Sullivan,4
Tioga,4
Tompkins,5
Ulster,4
Warren,4
Washington,4
Wayne,3
Westchester,6
Wyoming,3
Yates,4
Alamance,4
Alexander,4
Alleghany,4
Anson,5
Ashe,4
Avery,4
Beaufort,5
Bertie,5
Bladen,5
Brunswick,4
Buncombe,4
Burke,4
Cabarrus,4
Caldwell,4
Camden,3
Carteret,4
Caswell,4
Catawba,4
Chatham,5
Cherokee,4
Chowan,5
Clay,4
Cleveland,4
Columbus,5
Craven,4
Cumberland,4
Currituck,3
Dare,3
Davidson,4
Davie,4
Duplin,4
Durham,4
Edgecombe,5
Forsyth,4
Franklin,4
Gaston,4
Gates,3
Graham,4
Granville,4
Greene,4
Guilford,4
Halifax,5
Harnett,4
Haywood,4
Henderson,4
Hertford,5
Hoke,4
Hyde,4
Iredell,4
Jackson,4
Johnston,4
Jones,5
Lee,4
Lenoir,4
Lincoln,4
McDowell,4
Macon,4
Madison,4
Martin,4
